Date,Platform,Campaign Name,Ad Set,Ad ID,Product Category,Target Audience,Impressions,Clicks,CTR,CPC,Conversions,Conversion Rate,Spend,ROAS,Revenue,CPM,CPA,Campaign Objective,Geography,Device,Creative Type,A/B Test,Notes
2024-04-01,Google Ads,Spring Collection Launch,All Products,GA-S24-001,All,General,12458,342,2.75%,0.91,14,4.09%,311.22,3.24,1008.35,24.98,22.23,Conversions,US,All,Image Carousel,No,Spring collection promotion
2024-04-01,Facebook,Spring Collection Launch,All Products,FB-S24-001,All,General,23657,512,2.16%,0.72,19,3.71%,368.64,2.98,1098.55,15.58,19.40,Conversions,US,All,Image Carousel,No,Spring collection promotion
2024-04-01,Instagram,Spring Collection Launch,All Products,IG-S24-001,All,General,18265,385,2.11%,0.82,11,2.86%,315.70,2.15,678.76,17.28,28.70,Conversions,US,All,Image Carousel,No,Spring collection promotion
2024-04-02,Google Ads,Spring Collection Launch,All Products,GA-S24-001,All,General,13245,368,2.78%,0.88,16,4.35%,323.84,3.52,1139.92,24.45,20.24,Conversions,US,All,Image Carousel,No,Spring collection promotion
2024-04-02,Facebook,Spring Collection Launch,All Products,FB-S24-001,All,General,24125,524,2.17%,0.75,21,4.01%,393.00,3.02,1186.86,16.29,18.71,Conversions,US,All,Image Carousel,No,Spring collection promotion
2024-04-02,Instagram,Spring Collection Launch,All Products,IG-S24-001,All,General,17892,401,2.24%,0.80,13,3.24%,320.80,2.32,744.26,17.93,24.68,Conversions,US,All,Image Carousel,No,Spring collection promotion
2024-04-03,Google Ads,Spring Collection Launch,All Products,GA-S24-001,All,General,11587,325,2.80%,0.92,12,3.69%,299.00,2.85,852.15,25.80,24.92,Conversions,US,All,Image Carousel,No,Spring collection promotion
2024-04-03,Facebook,Spring Collection Launch,All Products,FB-S24-001,All,General,22568,498,2.21%,0.71,18,3.61%,353.58,2.94,1039.53,15.67,19.64,Conversions,US,All,Image Carousel,No,Spring collection promotion
2024-04-03,Instagram,Spring Collection Launch,All Products,IG-S24-001,All,General,19452,412,2.12%,0.79,14,3.40%,325.48,2.45,797.43,16.73,23.25,Conversions,US,All,Image Carousel,No,Spring collection promotion
2024-04-04,Google Ads,Spring Collection Launch,All Products,GA-S24-001,All,General,12789,352,2.75%,0.89,15,4.26%,313.28,3.11,974.30,24.50,20.89,Conversions,US,All,Image Carousel,No,Spring collection promotion
2024-04-04,Facebook,Spring Collection Launch,All Products,FB-S24-001,All,General,23125,518,2.24%,0.73,20,3.86%,378.14,3.05,1153.33,16.35,18.91,Conversions,US,All,Image Carousel,No,Spring collection promotion
2024-04-04,Instagram,Spring Collection Launch,All Products,IG-S24-001,All,General,18956,405,2.14%,0.81,12,2.96%,328.05,2.25,738.11,17.31,27.34,Conversions,US,All,Image Carousel,No,Spring collection promotion
2024-04-05,Google Ads,Apparel Promotion,Clothing,GA-APP-001,Apparel,Fashion Shoppers,8547,245,2.87%,0.95,9,3.67%,232.75,2.78,646.05,27.23,25.86,Conversions,US,All,Single Image,No,Apparel focused campaign
2024-04-05,Google Ads,Electronics Sale,Tech,GA-ELE-001,Electronics,Tech Enthusiasts,5824,132,2.27%,1.25,7,5.30%,165.00,4.21,694.65,28.33,23.57,Conversions,US,All,Single Image,No,Electronics focused campaign
2024-04-05,Facebook,Apparel Promotion,Clothing,FB-APP-001,Apparel,Fashion Shoppers,15742,356,2.26%,0.74,14,3.93%,263.44,3.12,822.50,16.73,18.82,Conversions,US,All,Single Image,No,Apparel focused campaign
2024-04-05,Facebook,Electronics Sale,Tech,FB-ELE-001,Electronics,Tech Enthusiasts,8965,178,1.99%,0.92,9,5.06%,163.76,4.28,701.09,18.27,18.20,Conversions,US,All,Single Image,No,Electronics focused campaign
2024-04-05,Instagram,Apparel Promotion,Clothing,IG-APP-001,Apparel,Fashion Shoppers,12548,285,2.27%,0.78,10,3.51%,222.30,2.95,656.25,17.72,22.23,Conversions,US,All,Single Image,No,Apparel focused campaign
2024-04-05,Instagram,Electronics Sale,Tech,IG-ELE-001,Electronics,Tech Enthusiasts,7645,155,2.03%,0.94,6,3.87%,145.70,3.25,473.52,19.06,24.28,Conversions,US,All,Single Image,No,Electronics focused campaign
2024-04-06,Google Ads,Apparel Promotion,Clothing,GA-APP-001,Apparel,Fashion Shoppers,8235,238,2.89%,0.97,8,3.36%,230.86,2.65,611.78,28.03,28.86,Conversions,US,All,Single Image,No,Apparel focused campaign
2024-04-06,Google Ads,Electronics Sale,Tech,GA-ELE-001,Electronics,Tech Enthusiasts,5932,135,2.28%,1.28,8,5.93%,172.80,4.45,769.35,29.13,21.60,Conversions,US,All,Single Image,No,Electronics focused campaign
